epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.16025,0,1,1,0,0,0,0
2,2.17983,0,1,1,0,1.9604e-05,1.9604e-05,1.9604e-05
3,3.61652,0,1,1,0,3.8416e-05,3.8416e-05,3.8416e-05
4,4.66275,0,1,1,0,5.6436e-05,5.6436e-05,5.6436e-05
5,5.74135,0,1,1,0,7.3664e-05,7.3664e-05,7.3664e-05
6,6.72216,0,1,1,0,9.01e-05,9.01e-05,9.01e-05
7,7.67588,0,1,1,0,0.000105744,0.000105744,0.000105744
8,8.65509,0,1,1,0,0.000120596,0.000120596,0.000120596
9,12.0387,0,1,1,0,0.000134656,0.000134656,0.000134656
10,12.8926,0,1,1,0,0.000147924,0.000147924,0.000147924
11,13.728,0,1,1,0,0.0001604,0.0001604,0.0001604
12,14.5796,0,1,1,0,0.000172084,0.000172084,0.000172084
13,15.4641,0,1,1,0,0.000182976,0.000182976,0.000182976
14,16.5069,0,1,1,0,0.000193076,0.000193076,0.000193076
15,17.4897,0,1,1,0,0.000202384,0.000202384,0.000202384
16,18.4805,0,1,1,0,0.0002109,0.0002109,0.0002109
17,20.9177,0,1,1,0,0.000218624,0.000218624,0.000218624
18,22.255,0,1,1,0,0.000225556,0.000225556,0.000225556
19,23.4808,0,1,1,0,0.000231696,0.000231696,0.000231696
20,24.5391,0,1,1,0,0.000237044,0.000237044,0.000237044
21,25.6029,0,1,1,0,0.0002416,0.0002416,0.0002416
22,26.822,0,1,1,0,0.000245364,0.000245364,0.000245364
23,27.7788,0,1,1,0,0.000248336,0.000248336,0.000248336
24,28.5769,0,1,1,0,0.000250516,0.000250516,0.000250516
25,29.3966,0,1,1,0,0.000251904,0.000251904,0.000251904
26,30.3362,0,1,1,0,0.0002525,0.0002525,0.0002525
27,31.2054,0,1,1,0,0.000252304,0.000252304,0.000252304
28,31.9994,0,1,1,0,0.000251316,0.000251316,0.000251316
29,32.8656,0,1,1,0,0.000249536,0.000249536,0.000249536
30,33.7517,0,1,1,0,0.000246964,0.000246964,0.000246964
31,34.6022,0,1,1,0,0.0002436,0.0002436,0.0002436
32,35.3953,0,1,1,0,0.000239444,0.000239444,0.000239444
33,36.3499,0,1,1,0,0.000234496,0.000234496,0.000234496
34,37.5276,0,1,1,0,0.000228756,0.000228756,0.000228756
35,38.407,0,1,1,0,0.000222224,0.000222224,0.000222224
36,39.2159,0,1,1,0,0.0002149,0.0002149,0.0002149
37,40.5152,0,1,1,0,0.000206784,0.000206784,0.000206784
38,41.371,0,1,1,0,0.000197876,0.000197876,0.000197876
39,42.2077,0,1,1,0,0.000188176,0.000188176,0.000188176
40,43.1434,0,1,1,0,0.000177684,0.000177684,0.000177684
41,44.1147,0,1,1,0,0.0001664,0.0001664,0.0001664
42,45.0312,0,1,1,0,0.000154324,0.000154324,0.000154324
43,46.2456,0,1,1,0,0.000141456,0.000141456,0.000141456
44,47.195,0,1,1,0,0.000127796,0.000127796,0.000127796
45,50.1443,0,1,1,0,0.000113344,0.000113344,0.000113344
46,51.2118,0,1,1,0,9.81e-05,9.81e-05,9.81e-05
47,53.8397,0,1,1,0,8.2064e-05,8.2064e-05,8.2064e-05
48,55.1401,0,1,1,0,6.5236e-05,6.5236e-05,6.5236e-05
49,56.1457,0,1,1,0,4.7616e-05,4.7616e-05,4.7616e-05
50,57.3919,0,1,1,0,2.9204e-05,2.9204e-05,2.9204e-05
